productivity,mpc,wage,search_prob,error
1.4000000000000001,0.7,62.5,0.4,3132593640.2225266
1.4000000000000001,0.7,62.5,0.45000000000000007,2775485993.2903857
1.4000000000000001,0.7,62.5,0.5,2518583885.0734606
1.4000000000000001,0.7,75.0,0.30000000000000004,8083915542.804033
1.4000000000000001,0.7,75.0,0.35000000000000003,8626930419.195744
1.4000000000000001,0.7,75.0,0.4,9148064948.796877
1.4000000000000001,0.7,75.0,0.45000000000000007,9585257865.500309
1.4000000000000001,0.7,75.0,0.5,9979136834.197285
1.4000000000000001,0.725,25.0,0.30000000000000004,32292278465.149868
1.4000000000000001,0.725,25.0,0.35000000000000003,30508802750.88837
1.4000000000000001,0.725,25.0,0.4,29186799788.63688
1.4000000000000001,0.725,25.0,0.45000000000000007,28177095782.830654
1.4000000000000001,0.725,25.0,0.5,27371252367.23942
1.4000000000000001,0.725,37.5,0.30000000000000004,16473234568.179781
1.4000000000000001,0.725,37.5,0.35000000000000003,14537333676.313828
1.4000000000000001,0.725,37.5,0.4,13117233257.826612
1.4000000000000001,0.725,37.5,0.45000000000000007,12037498694.272196
1.4000000000000001,0.725,37.5,0.5,11181385224.791256
1.4000000000000001,0.725,50.0,0.30000000000000004,7183045343.712613
1.4000000000000001,0.725,50.0,0.35000000000000003,5587594393.926416
1.4000000000000001,0.725,50.0,0.4,4444665869.130142
1.4000000000000001,0.725,50.0,0.45000000000000007,3584781711.26415
1.4000000000000001,0.725,50.0,0.5,2913499290.4974575
1.4000000000000001,0.725,62.5,0.30000000000000004,4421710791.748358
1.4000000000000001,0.725,62.5,0.35000000000000003,3659584903.726113
1.4000000000000001,0.725,62.5,0.4,3169097622.5474606
1.4000000000000001,0.725,62.5,0.45000000000000007,2818944833.806504
1.4000000000000001,0.725,62.5,0.5,2567594564.3580036
1.4000000000000001,0.725,75.0,0.30000000000000004,8189230912.287024
1.4000000000000001,0.725,75.0,0.35000000000000003,8753305205.712936
1.4000000000000001,0.725,75.0,0.4,9290528518.078575
1.4000000000000001,0.725,75.0,0.45000000000000007,9739988061.899265
1.4000000000000001,0.725,75.0,0.5,10143671046.37291
1.4000000000000001,0.75,25.0,0.30000000000000004,32211786238.356804
1.4000000000000001,0.75,25.0,0.35000000000000003,30426351276.888653
1.4000000000000001,0.75,25.0,0.4,29102892045.156235
1.4000000000000001,0.75,25.0,0.45000000000000007,28092055618.177124
1.4000000000000001,0.75,25.0,0.5,27285296361.873787
1.4000000000000001,0.75,37.5,0.30000000000000004,16395991953.414125
1.4000000000000001,0.75,37.5,0.35000000000000003,14460531433.807415
1.4000000000000001,0.75,37.5,0.4,13040813128.412401
1.4000000000000001,0.75,37.5,0.45000000000000007,11961345156.371437
