output,wages,consumption,unemployment,employed
0.0,997460.0,648348.9999999999,0.50127,498.73
71887.64739634407,1495340.0,971970.9999999997,0.25233,747.67
698.0959999999999,1745240.0,1134405.9999999998,0.12738,872.62
748.5039999999999,1871260.0,1216318.9999999998,0.06436999999999998,935.63
774.2959999999999,1935740.0,1258230.9999999998,0.03213000000000003,967.87
787.184,1967960.0,1279173.9999999998,0.016020000000000013,983.98
793.544,1983860.0,1289508.9999999998,0.008070000000000008,991.93
796.824,1992060.0,1294838.9999999998,0.003970000000000004,996.03
798.3759999999999,1995940.0,1297360.9999999998,0.002030000000000002,997.97
799.2,1998000.0,1298699.9999999998,0.0010000000000000009,999.0
799.56,1998900.0,1299284.9999999998,0.0005500000000000005,999.45
799.7439999999999,1999360.0,1299583.9999999998,0.0003200000000000003,999.68
799.8480000000001,1999620.0,1299752.9999999998,0.00019000000000000017,999.81
