,Sector_1,Sector_2,Sector_3,Sector_4,Sector_5,Sector_6,Sector_7,Sector_8,Sector_9,Sector_10,Sector_11,Sector_12,Sector_13,Sector_14,Sector_15,Sector_16,Sector_17,Sector_18,Sector_19,Sector_20,Sector_21,Sector_22,Sector_23,Sector_24,Sector_25,Sector_26,Sector_27,Sector_28,Sector_29,Sector_30,Sector_31,Sector_32,Sector_33,Sector_34,Sector_35,Sector_36,Sector_37,Sector_38,Sector_39,Sector_40,Sector_41,Sector_42,Sector_43,Sector_44,Sector_45,Sector_46,Sector_47,Sector_48,Sector_49,Sector_50,Sector_51,Sector_52,Sector_53,Sector_54,Sector_55,Sector_56,Sector_57,Sector_58,Sector_59,Sector_60,Sector_61,Sector_62
Sector_1,298.8804668793085,0.5309102774415118,0.0,2.233737711078803,132.31164886652974,3.3591696356091965,4.04666174602885,0.9859762295342361,0.11254319245303936,51.05546391543533,46.247912324778326,1.027568278919055,6.432088107805227,1.5658183297814172,0.0,10.478749853834076,0.0,0.6703659724376693,1.012888732077354,0.09541705447105511,0.0,0.31071707481599997,60.11274431676471,22.843821476826708,1.12298533339011,0.9125784953257321,6.872474513056251,4.42099019049222,36.601003458640626,2.7842207176425826,2.622745702383874,0.13456251271559055,0.07829091648907086,2.0453501932769758,1.0153353232176376,0.9419375890091337,0.2862511634131653,0.06361136964737008,2.5884934264199053,0.061164778507086605,25.29285920825045,3.6380810256015113,0.044038640525102354,4.827124319779275,2.5640275150170706,1.4899740044326297,0.0,0.716851204103055,27.02015255329058,13.358387625947715,0.09786364561133858,0.10031023675162203,3.8484878636658895,0.2691250254311811,0.3963477647259212,0.0,0.0,0.0,0.0,0.06605796078765354,0.29603752797429916,0.0
Sector_2,0.0,222.78658923421224,0.0,0.18104774438097634,0.1590284241184252,0.2544454785894803,0.0,0.24221252288806294,0.012232955701417322,6.79418359656718,0.9639569092716849,0.0,0.08318409876963778,0.0,0.0,2.5322218301933854,0.0,0.026912502543118107,0.0342522759639685,0.0,0.0,0.022019320262551177,15.161525296336627,1.4190228613644091,0.07584432534878739,0.1296693304350236,7.706762091892912,0.2862511634131653,1.6416626551302045,0.5700557356860472,0.0,0.009786364561133857,0.05627159622651968,0.2617852520103307,0.11009660131275589,0.1786011532406929,0.026912502543118107,0.0048931822805669285,0.21530002034494486,0.2177466114852283,2.4808434162474327,0.3572023064813858,0.009786364561133857,0.7241909775239054,0.7315307509447558,1.1572376093540786,0.0,0.18594092666154327,0.48197845463584243,4.176331076463874,0.2324261583269291,0.012232955701417322,0.3963477647259212,0.06361136964737008,0.07584432534878739,0.0024465911402834642,0.0,0.0,0.0,0.014679546841700785,0.09786364561133858,0.014679546841700785
Sector_3,0.0,0.0,0.9761898649731022,0.036698867104251964,1.534012644957732,0.07829091648907086,0.08563068990992125,0.022019320262551177,0.0048931822805669285,0.18104774438097634,0.022019320262551177,0.0,0.07829091648907086,0.1492420595572913,0.0,0.061164778507086605,0.0,0.06361136964737008,0.0,0.0,0.0,0.0048931822805669285,0.3474159419202519,0.37432844446337005,0.022019320262551177,0.0048931822805669285,0.8538603079589291,0.11254319245303936,0.5406966420026456,0.022019320262551177,0.061164778507086605,0.0,0.009786364561133857,0.012232955701417322,0.024465911402834644,0.036698867104251964,0.009786364561133857,0.0,0.04648523166538582,0.007339773420850393,0.11988296587388975,0.068504551927937,0.0024465911402834642,0.1492420595572913,0.19572729122267715,0.04893182280566929,0.0,0.0,0.0,0.2691250254311811,0.014679546841700785,0.0024465911402834642,0.04893182280566929,0.0048931822805669285,0.019572729122267714,0.0,0.0,0.0,0.0,0.0024465911402834642,0.014679546841700785,0.0
Sector_4,0.0,0.0,0.0,71.41110220259375,0.0,0.13456251271559055,1.4263626347852596,0.9419375890091337,0.068504551927937,9.813277063676974,10.449390760150676,0.0,1.8594092666154327,0.7486568889267401,1.945039956525354,1.3945569499615746,0.0,0.0,5.348248232659652,0.0,0.0,0.08807728105020471,9.363104293864819,22.45236689438135,0.14679546841700786,0.5822886913874644,11.205387422498266,0.8832194016423306,5.832673278435778,0.17615456210040942,18.038716477309983,0.7633364357684409,0.2275329760463622,7.765480279259715,0.7217443863836219,1.2306353435625825,0.22019320262551179,0.07584432534878739,1.3480717182961888,1.4410421816269603,5.399626646605606,1.3382853537350548,0.1296693304350236,7.53550071207307,8.117789403460534,13.573687646292658,0.0,3.2466264431561567,0.5627159622651967,2.0380104198561257,2.473503642826582,0.07095114306822045,1.3774308119795904,0.05627159622651968,1.0373546434801888,0.20796024692409446,0.0,0.0,0.014679546841700785,0.33273639507855113,0.2104068380643779,0.20306706464352753
Sector_5,882.8230538776047,1.7395263007415431,2.3218149921290077,4.927434556530897,605.7881992898872,3.1830150735087868,4.964133423635149,81.39808723723085,2.334047947830425,20.739753096182923,86.57507409007067,12.365071622992629,102.61003242348848,17.351224366890328,1.5462456006591494,54.042751697721435,0.0,0.2617852520103307,7.838878013468219,0.022019320262551177,0.0,0.584735282527748,29.019017514902167,64.17653220077555,2.9921809645666766,5.805760775892661,45.36469292313599,7.616238219702423,191.1325930612248,6.608242669905637,115.19285065796635,2.091835424942362,10.55948736146343,44.11937803273171,4.785532270394456,27.27704462302034,7.508588209529952,2.6178525201033067,8.98388266712088,17.495573244167055,53.876383500182165,7.767926870399998,1.1450046536526612,29.40068573278639,115.57451887585056,8.386914428891716,0.0,111.98047649077415,13.847705854004408,10.765001017247242,5.030191384422802,0.716851204103055,28.12356515755842,1.4361489993463936,1.9572729122267714,1.8104774438097635,0.0,0.0,0.5382500508623622,2.243524075639937,1.7272933450401255,0.4672989077941416
Sector_6,2.331601356690141,0.11009660131275589,0.0,0.0342522759639685,22.337377110788026,208.66731176363638,0.6189875584917164,3.9439049181369445,0.35964889762166924,1.7419728918818265,65.1894209328529,0.0,8.254798507316409,1.80803085266948,0.0,2.698590027732661,0.0,0.0,1.844729719773732,0.0,0.0,1.9646126856476216,1.4092364968032753,10.85552488943773,0.6532398344556849,0.9786364561133857,7.124473400505448,0.41347390270790546,37.06585577529448,0.1712613798198425,11.254319245303936,0.34496935077996843,1.2771205752279682,3.2466264431561567,0.8416273522575116,2.4172320466000627,1.2942467132099527,0.14434887727672438,1.56092514750085,2.0429036021366924,8.641359907481196,0.8978989484840313,0.19083410894211023,8.022372348989478,13.368173990508849,0.6825989281390865,0.0,5.176986852839811,1.1621307916346455,1.3823239942601573,0.8514137168186455,0.11009660131275589,2.3634070415138266,0.21285342920466138,0.20306706464352753,0.15413524183785823,0.0,0.0,0.026912502543118107,0.3694352621828031,0.051378413945952744,4.403864052510236
Sector_7,0.0,245.35149932104665,0.0,0.16392160639899211,0.0,0.0342522759639685,456.36019880593426,38.83474116971942,0.16636819753927556,9.475647486317856,39.89656172460245,0.0,9.333745200181415,16.233132215780785,4.900522053987779,17.285166406102675,0.0,0.0,4.638736801977449,0.0,0.0,0.02935909368340157,8.99856221396258,33.93911229801221,0.42570685840932276,10.950941943908786,38.23777293149026,3.611168523058393,123.13448549932647,1.0153353232176376,79.04446656027815,1.8422831286334487,1.8594092666154327,25.64516833245127,1.323605806893354,3.961031056118929,0.9982091852356534,0.12477614815445667,2.4539309137043146,0.5504830065637795,20.636996268291018,3.3028980393826766,0.4232602672690393,10.791913519790361,24.563775048445983,0.479531863495559,0.0,5.658965307475652,1.666128566533039,3.6136151141986765,2.6056195644018896,0.16392160639899211,3.2882184925409756,0.2544454785894803,0.8685398548006298,0.2299795671866456,0.0,0.0,0.02935909368340157,0.47463868121499203,0.0,0.08807728105020471
Sector_8,0.0,87.91825262608629,0.0,19.120109761315273,4.518853836103558,6.791737005426897,9.9576259409537,272.4156905148623,3.29800485710211,2.8698514075525035,102.01795736753989,0.0,11.303251068109605,0.1981738823629606,5.3506948237999366,0.22019320262551179,0.0,0.0,3.036219605091779,0.0,0.0,0.02935909368340157,16.06676401824151,89.71160393191407,0.3131636659562834,78.67992448037592,15.433096912908091,0.4012409470064881,79.46528023640693,0.2250863849060787,75.25469688397907,2.8184729936065507,1.6318762905690707,21.087169038103177,1.3211592157530707,2.5346684213336688,0.8000353028726928,0.1419022861364409,2.446591140283464,7.491462071547968,18.29805513818003,3.0484525607931965,0.4085807204273385,4.9103084185489125,24.355814801521884,5.017958428721386,0.0,5.6760914454576366,3.0117536936889446,8.440739433977951,0.8024818940129762,0.13945569499615745,6.950765429545322,0.31561025709656687,1.0079955497967872,0.2593386608700472,0.0,0.0,0.02935909368340157,0.5504830065637795,0.0,0.10520341903218895
Sector_9,0.0024465911402834642,0.0,0.0,0.009786364561133857,0.09052387219048817,0.4208136761287558,0.9125784953257321,116.00511891654045,28.316845857640814,1.2379751169834328,15.944434461227337,0.0,17.446641421361385,0.0,0.7755693914698581,0.5235705040206614,0.8293943965560944,0.0,4.112719706816503,0.0,0.0,0.4672989077941416,5.057103886965921,6.194768767197732,0.22263979376579526,0.3572023064813858,8.42605988713625,0.4501727698121574,28.422049276673004,0.2250863849060787,10.500769174096629,0.17370797096012594,0.45751254323300783,3.794662858579653,1.969505867928189,0.5627159622651967,77.5740652849678,1.0349080523399055,3.647867390162645,1.2110626144403147,6.99235747893014,0.8636466725200628,0.12232955701417321,7.699422318472061,15.198224163440878,0.24221252288806294,0.0,7.462102977864566,2.192145661693984,5.492597109936377,7.457209795583999,0.022019320262551177,5.044870931264503,0.2275329760463622,0.17370797096012594,0.04648523166538582,0.0,0.0,0.036698867104251964,0.37188185332308654,0.1981738823629606,0.014679546841700785
Sector_10,0.0,0.0,0.0,724.14449229224,0.012232955701417322,0.11743637473360628,0.0048931822805669285,0.09297046333077164,0.0342522759639685,33.73849182450897,42.012863060947645,0.0,0.8514137168186455,0.0,0.0,0.29603752797429916,0.0,0.0,0.0,0.0,0.0,0.0,11.13688287057033,0.4012409470064881,0.03914545824453543,0.1981738823629606,16.47779132980913,0.11254319245303936,10.04325663086362,0.022019320262551177,16.585441339981607,1.2379751169834328,0.31561025709656687,5.367820961781921,0.2299795671866456,0.3841148090245039,0.024465911402834644,0.29603752797429916,0.42570685840932276,0.0,11.369309028897257,0.7731228003295747,0.10031023675162203,2.8160264024662673,3.9365651447160936,5.857139189838613,0.0,2.935909368340157,0.5431432331429291,0.5088909571789606,0.6214341496319999,0.019572729122267714,1.0349080523399055,0.05627159622651968,0.2275329760463622,0.04159204938481889,0.0,0.0,0.01712613798198425,0.05627159622651968,0.06605796078765354,0.08318409876963778
Sector_11,9.742325920608755,3.4496935077996844,0.0,217.6022626079516,51.96314922848049,0.0024465911402834642,2.877191180973354,76.88901976568843,0.2911443456937322,17.64236871258406,1738.6161688373575,0.0,32.61795308225914,2.187252479413417,6.801523369988031,5.984361929133353,0.0,0.0,1.5095467335548973,0.0,0.0,1.0202285054982045,15.831891268774296,105.4040395056922,2.7279491214160627,1.3798774031198737,22.787549880600185,1.1914898853180471,108.5552488943773,0.31561025709656687,57.90102592594846,1.2477614815445666,3.4814991926233696,17.15549707566765,1.4557217284686612,5.377607326343054,2.108961562924346,0.2177466114852283,2.6765707074701095,2.2068252085356845,24.876938714402264,2.2068252085356845,0.3205034393771338,4.814891364077858,31.77143254772107,6.85779496621455,0.0,17.280273223822107,0.20796024692409446,44.94877242928781,0.7241909775239054,0.2177466114852283,3.762857173755968,0.20062047350324405,1.0813932840052911,0.09786364561133858,0.0,0.0,0.09052387219048817,0.5235705040206614,0.0048931822805669285,0.026912502543118107
Sector_12,0.8147148497143936,0.3400761684994015,0.0,0.04648523166538582,10.393119163924155,0.0,0.009786364561133857,12.898428491574423,0.11988296587388975,0.8660932636603463,57.62700771823671,140.58602010296843,10.772340790668093,7.317754100587841,0.16147501525870864,1.3774308119795904,0.0,0.0,3.6821196661266136,0.0,0.0,0.044038640525102354,4.376951549967117,14.371276358025069,0.4452795875315905,0.33273639507855113,7.21744386383622,0.0,34.12749981581405,0.04648523166538582,4.4552424664561885,0.137009103855874,0.8660932636603463,1.1254319245303934,0.6410068787542677,2.1945922528342674,1.2159557967208816,0.19083410894211023,1.18659670303748,0.675259154718236,7.119580218224881,0.8049284851532598,0.16147501525870864,0.24955229630891335,14.503392279600376,1.1523444270735117,0.0,5.563548253004597,1.032461461199622,15.376825316681574,0.35230912420081884,0.08563068990992125,1.9230206362628028,0.12232955701417321,0.36454207990223614,0.061164778507086605,0.0,0.0,0.04648523166538582,0.28869775455344876,0.0,0.009786364561133857
Sector_13,7.210104090415369,0.0,0.0,0.7559966623475904,1.1254319245303934,16.027618559996974,4.440562919614488,15.208010528002013,0.2593386608700472,3.209927576051905,294.163439160842,0.20062047350324405,92.7111246699016,17.18240957821077,11.714278379677227,13.91376381479206,1.6367694728496376,0.0,7.011930208052409,0.0,0.19572729122267715,0.0,4.868716369164093,22.821802156564154,0.3131636659562834,43.7205836768655,15.861250362457698,0.9321512244479999,63.8878344462221,0.0,29.882664187422233,0.5602693711249133,2.064922922399244,9.140464500099021,1.3872171765407242,2.133427474327181,0.20306706464352753,0.18349433552125982,2.5689206972976373,4.019749243485732,12.749186432017131,1.8936615425794014,0.21530002034494486,13.304562620861478,23.01018967436598,6.54707789139855,0.0,8.112896221179966,0.0,6.361136964737007,0.10275682789190549,0.11254319245303936,3.3004514482423932,0.1712613798198425,0.305823892535433,0.19572729122267715,0.0,0.0,0.03914545824453543,0.41347390270790546,0.0,0.068504551927937
