period,Sector_1,Sector_2,Sector_3,Sector_4,Sector_5,Sector_6,Sector_7,Sector_8,Sector_9,Sector_10,Sector_11,Sector_12,Sector_13,Sector_14,Sector_15,Sector_16,Sector_17,Sector_18,Sector_19,Sector_20,Sector_21,Sector_22,Sector_23,Sector_24,Sector_25,Sector_26,Sector_27,Sector_28,Sector_29,Sector_30,Sector_31,Sector_32,Sector_33,Sector_34,Sector_35,Sector_36,Sector_37,Sector_38,Sector_39,Sector_40,Sector_41,Sector_42,Sector_43,Sector_44,Sector_45,Sector_46,Sector_47,Sector_48,Sector_49,Sector_50,Sector_51,Sector_52,Sector_53,Sector_54,Sector_55,Sector_56,Sector_57,Sector_58,Sector_59,Sector_60,Sector_61,Sector_62
0,598.4043440395988,276.64743556154343,5.658884207991759,377.8405552614366,1198.808467379231,207.51129314048802,386.2316240256229,392.51298681929944,198.42630361247436,37.11175112768107,359.26799859534964,303.26666357697894,456.23648197757643,490.00427713463415,669.6028762253458,1078.5164754719647,525.0058687076111,796.4694123637316,1373.8807862197277,693.8460994197646,282.03558931778844,352.21851450248045,753.4385219131094,1199.6531279376816,143.30476794565453,678.2638634649915,4521.5697841985775,923.8082526416631,4436.789126972612,3218.435805175787,1937.8915778007513,5.66080449133131,86.01052574521022,1399.2032455289855,323.74895902440363,3632.7541071676073,323.4668166735462,252.42654927425616,556.4315625088684,1738.3219529106643,1927.452176187576,673.7174251877464,284.21659176214524,7499.364585020917,2143.633041425673,1220.6549346619252,1885.685259914868,431.37182979439996,246.00136093028658,1319.2024524776314,1059.3615513520813,129.86539893921366,1184.74966013227,3493.75918411777,3417.4621058115094,3533.695084046392,1165.7498646081108,594.5259508211533,294.771389038949,490.2660854032378,162.39721933575018,554.608933755362
1,597.1396751382675,276.06276833490415,5.6469247111356955,377.0420262994274,1196.274903240099,207.07273837125922,385.41536136258844,391.6834491119866,198.0069490777292,37.03331908089903,358.50872091060177,302.6257392222304,455.27227091205697,488.96870114536557,668.1877362085896,1076.237136661789,523.896320286853,794.7861523635261,1370.97722390251,692.3797237280866,281.4395347565398,351.4741352110372,751.8462034801987,1197.11777869129,143.0019073712541,676.8304193009687,4512.013889849673,921.8558744897955,4427.412408229472,3211.633956705633,1933.796033983424,5.648840936144687,85.82875093335105,1396.2461666772633,323.06474734674543,3625.0766375964677,322.7832012760644,251.89307051568412,555.2555989659045,1734.648179924625,1923.3786950216804,672.2935894752138,283.6159278661804,7483.515413369848,2139.102683201023,1218.0752001577246,1881.7000490307032,430.46016773296736,245.48146117711408,1316.4144474569919,1057.122694595665,129.59094115331692,1182.2458079032128,3486.3754666852674,3410.239634771611,3526.226966005849,1163.2861665827338,593.2694785241772,294.1484186138595,489.22995610784557,162.05400873756852,553.4368221599345
2,613.6012283605205,283.695500170658,5.784345933614797,382.3117330544792,1230.8062763263672,213.04401646318,396.92017848341703,403.40989286202773,203.9058142430973,38.10123487052344,368.8469010486601,311.2190167495348,468.40078487597293,503.1036381662244,687.7053648554547,1107.560838574989,539.0037199592495,817.9923966424798,1411.3273813910491,712.4937773981011,289.91333290900553,361.6094616709741,773.5312373837097,1231.6876024107862,147.12749101860152,696.0349349287461,4642.137354506113,948.9577934915974,4555.087370118311,3304.253488317509,1990.7294444640086,5.811734421749287,88.29820939934037,1437.3013472258408,332.4760600119054,3730.4114441106735,331.8064065197587,259.0135660427861,571.3221120315112,1785.2520785977972,1979.5101739675854,691.9485116130277,291.7963632044297,7699.33536762263,2200.7974405329696,1253.203163386588,1936.7654769662445,442.67899574485654,252.60356637952947,1354.4776117584609,1087.5469456945082,133.3307609796944,1216.3409099626876,3593.785345971662,3515.2545974262894,3632.2132104826997,1196.836154728133,610.3808303496669,302.79411631467946,503.8951725108086,166.72709878323516,569.3975357809807
3,620.1281209820637,287.34302148348246,5.8922456433223545,398.99364993958335,1239.5160832725132,215.98953572737207,399.2692040743661,407.20605169419,205.82460421674185,38.57631053797632,372.48418330434896,313.4079244165118,473.2034716942012,507.6497824437679,693.4619556049098,1117.1126610735837,545.5775448531879,825.1319683317387,1421.742053824746,719.1984705501616,291.3440169261777,365.0122710094095,780.9691809492853,1242.3558681682252,148.5539019203185,703.5592201017998,4682.69373422732,955.5094410814513,4582.498083269011,3322.670836320949,2001.931458248839,6.110230051105534,89.05333107875879,1450.8266084884879,335.2987734552999,3752.6183219621785,335.4823774943945,261.53698058289285,575.8733499999387,1800.6397604425442,1995.8223288397305,698.4598701609625,294.46137501763195,7754.873032174212,2221.509884966569,1263.1483647129935,1952.6111391915106,447.5508691254404,254.75902278079988,1366.4930318220415,1098.1551411105086,134.0749864383086,1226.4788166272388,3575.2545005792194,3501.4538098267394,3623.945870562386,1198.004508983031,615.7711744207429,303.9070339068053,504.40013152521675,168.20495403929684,572.7640065956602
4,622.4662607723,288.3187024128507,5.898858080378733,404.26530783757426,1247.5579291819565,216.88934274010464,400.40881673295405,408.902461938049,206.00030869307207,38.73701848434885,374.11184006502333,315.587423166288,475.17482554155686,509.2630377652793,695.8389843469522,1120.2245087929114,547.8504072832887,829.1284473043414,1430.5357371124676,722.1946334208322,293.85779991848415,366.53290301026396,783.0062281916039,1245.7382048564557,148.71798588143164,705.9234511006208,4693.033114497033,957.0693705120644,4596.013653802119,3331.139596160938,2007.1413977361399,6.135685116932436,89.24039290683656,1450.5399353182981,335.89827443924133,3761.7004313780108,336.2587134091243,262.47490493530825,577.4480310167771,1805.314135869203,1999.5441562596275,698.1397675596091,295.54133111846187,7768.455648216494,2226.633466570347,1266.6493382501114,1956.6604410707914,448.6529820162003,255.3139053767095,1368.7225218295707,1101.4998031519785,134.4234952127403,1228.5371215881396,3585.7315203127405,3512.447902113924,3634.628175423157,1201.4759532319338,615.7759996070689,304.7317838889101,505.8503846121292,168.49844220472517,573.9504337310054
5,614.3486480397534,284.00823427133156,5.844768358771133,392.18416491412364,1227.8796885897268,214.2465985148018,395.87723206382543,403.9200842593914,203.51058727872712,38.26501727648441,369.55337770613437,308.9657643277382,469.3849351288944,502.45235702170186,687.5594865301493,1106.8158332617852,541.1749824704133,819.0257175502159,1413.1050047855438,713.3948663463383,290.2772136444765,362.06678816743516,772.6065128729401,1229.633079602936,146.6153993605877,695.813116634102,4630.040113865443,945.7082464945959,4547.670236196426,3291.875761106688,1984.523589866239,6.060923276602842,88.05147038770819,1432.6761654980173,331.4571471341091,3720.410593302992,331.1893581942334,258.88088953151436,569.6738730189556,1781.6484031912223,1973.832100211516,692.8363054347195,291.37428391873715,7670.844204880166,2196.6063923640204,1250.9408711488136,1931.3295621481068,442.29500006555156,251.9349947552613,1350.5322702086346,1086.339104611179,132.8371261266052,1212.197790601224,3559.8961004779026,3484.6934629802427,3604.317408490624,1189.907401606724,607.8066682921938,301.3602572717831,500.7940873316618,166.25648579687086,567.0924997518816
6,615.6153914795341,285.1424252502353,5.896356660178532,374.73863982735867,1240.6138405660429,216.13762608356953,401.0556621225865,408.078285460842,205.75820133959647,38.60275987295575,372.8152060393295,314.53049983989683,473.5279173690648,506.6207483502805,694.770192850274,1117.797855390798,545.9516128504765,826.2547714640157,1426.1342686315588,719.6915794283722,293.497107168009,364.57520057528114,779.1626817321688,1240.8785713859413,147.9287472859269,700.161038594611,4672.265779768255,957.0236749973456,4610.515198670679,3330.162700236213,2009.3538982885632,6.114419449181033,88.86492165938493,1449.8082563957685,334.83618884768714,3758.9410569279903,333.1775273513525,260.4629665073917,575.2390993652123,1799.2090942283298,1994.4192145227396,697.7508576236032,294.27834159653963,7752.49155234732,2216.145180817342,1264.404738500582,1951.4274539008843,445.1554389338804,254.38791810832333,1363.41448386192,1094.9212754525527,134.40043722845687,1224.357867485772,3639.2446882291642,3557.9878623891896,3673.95968309708,1209.4695817391391,616.6024297845532,305.3640910018582,508.8238874396957,167.81723751196083,573.6518422142127
7,620.0763079346659,287.28753288208003,5.930305969007012,381.8381455772017,1247.6449067699525,217.3820764179215,403.2977177751187,410.42786784497537,206.61423771282017,38.82502204210546,374.96175505180827,316.34146441850163,476.2543375016549,509.71853140763454,698.8754802217412,1124.7556532657798,549.0950251268769,831.0120783955897,1434.3674932953056,723.8353300694848,295.1869682987704,367.35969340448605,784.509369675801,1248.7427736741581,149.16266256340685,704.79318645372,4704.670158893689,962.5153471550294,4633.791195588235,3346.951382170307,2019.797834490537,6.149624292807334,89.47387727732875,1458.1922921791438,337.352066380124,3779.476824812648,337.64702486649435,261.8098012327998,579.0444696048548,1811.4321922621486,2008.8162438994568,702.9655784450966,295.9741271199963,7803.268930132666,2232.5009750588274,1271.9351818151638,1965.086173609204,448.59602713483537,256.1201097363638,1373.9095410664463,1102.1883265969786,135.07636584488637,1233.101204453573,3638.6856767153117,3557.6424935580053,3678.626600605103,1212.2868031032403,618.5839419023164,306.609301714726,510.13206109436237,169.06692439592348,576.8436627532604
8,617.5466479675308,286.2857035247373,5.811848683339181,400.3400268064624,1239.5545030319417,216.24981682530856,400.7192358184797,408.29013237276786,205.97054605519693,38.62279984128258,373.0087467224425,314.69378300012016,473.77374134634977,507.2902124096819,695.1230882146923,1118.6402873948164,546.2350343586537,826.6837075982394,1426.8928266130958,720.0651950892523,293.64947120728243,365.44628082395946,780.5650496966491,1241.864315925951,148.38851894607973,701.8782578692758,4679.248609313843,956.0735856378413,4601.008887106804,3323.4479004885934,2005.8745261552187,6.117574085647957,88.97353424808803,1452.6521204680116,335.4841883520948,3753.7268834897022,334.2348333456321,260.5634988388473,575.6558123655818,1801.9480175971225,1997.116208880916,696.9145676676916,294.5872738072659,7752.209070147731,2221.3472619571194,1264.535517547739,1953.829063355098,446.73336593075425,254.6957360720375,1366.1363846364154,1097.26371835258,134.13088366361603,1226.0335767780498,3596.971150428099,3519.657675698526,3640.639489644528,1202.6088005062866,613.7710941165593,304.25930134185734,505.71508974418197,168.40651283773272,572.7463404404967
9,614.8341114431416,285.3236521218101,5.768955199278713,386.0256664539757,1234.7538974250917,215.58091037470604,399.39206865218114,407.0272045827946,204.8640433043421,38.50333134844804,371.85495172504017,310.5767071199689,472.3082588949065,505.59482020318825,692.9659829303985,1114.8560451753758,544.5454137912346,824.1265999304874,1422.4791450988887,717.8378810461577,292.74115124499724,364.3158781298474,777.8532220924951,1237.652331138448,147.70676169660808,699.4571884862457,4661.583685605856,952.6216477464536,4585.95266351206,3311.4502388682185,1998.9695198209733,6.098651134275453,88.6183079490756,1443.8987879675833,334.97987255673195,3739.900693528803,334.84692451541605,259.7228141347972,573.4212686884504,1795.4728649159692,1989.150189319106,697.1374737637319,293.3630820720585,7721.3087387505175,2212.720508746036,1260.586368067219,1946.454026487603,444.9375724892213,253.68321815285873,1360.5153593686657,1093.6749194925017,133.6496344128675,1220.8499993639552,3584.2093730652273,3507.578293313738,3627.8793842590344,1196.903942101984,611.4823605026712,303.17997604674576,503.93787544424725,167.46525221279347,570.5547854034497
