mpc,search_prob,wage,final_gdp,target_gdp,error_pct,emergent_productivity
0.5,0.4,40,80125.5377790057,80126,0.0005768676762904879,1.9345283448199624
0.55,0.3,40,80081.9374490658,80126,0.0549915769340866,1.9386418753541235
0.6,0.3,40,80367.65162792386,80126,0.30158953139287714,1.9387878375610235
0.55,0.4,40,80394.9483016669,80126,0.3356567177531593,1.9342088255672394
0.5,0.3,40,79804.87685220924,80126,0.4007727177080558,1.9387137777494776
0.65,0.3,40,80638.8518736737,80126,0.640056752706615,1.9385683935970222
0.6,0.4,40,80681.19215743865,80126,0.6928988810606427,1.9343105608968632
0.7,0.3,40,80909.83908554124,80126,0.9782581004183953,1.9383435862422271
0.65,0.4,40,80964.69838946476,80126,1.0467243959073915,1.9343437871237428
0.7,0.4,40,81233.46215453072,80126,1.3821508056445053,1.934008082746014
0.7,0.2,40,77041.93390698705,80126,3.8490204091218234,1.9381822131867614
0.6,0.2,40,76709.44533245792,80126,4.263977569755232,1.9374036751437809
0.65,0.2,40,76370.36735391342,80126,4.68715853291888,1.9363858654435622
0.55,0.2,40,76038.53398794106,80126,5.101297970769712,1.9372132693840325
0.5,0.2,40,75465.00233252037,80126,5.8170851751986055,1.9371891109712862
0.5,0.2,45,85378.85764232723,80126,6.555746751774993,1.9382440778912933
0.55,0.2,45,85682.29681633093,80126,6.93444926282471,1.938430705780857
0.6,0.2,45,85987.51247602227,80126,7.315368889027616,1.9386591087600769
0.65,0.2,45,86441.32327105949,80126,7.881740347776614,1.9383766679117562
0.7,0.2,45,86719.31433973822,80126,8.228682749342564,1.9379732027628354
0.7,0.4,35,71257.73409360582,80126,11.067900439800043,1.9369748598173095
0.65,0.4,35,70982.46872397968,80126,11.411441075331757,1.9361787349708475
0.7,0.3,35,70765.43246513535,80126,11.682309780676244,1.935412215899263
0.6,0.4,35,70725.18429780245,80126,11.732540875867445,1.9358963513657836
0.65,0.3,35,70506.57690925703,80126,12.005370405040779,1.9350189659746195
0.55,0.4,35,70482.24908404016,80126,12.035732366472606,1.9360239452582901
