productivity,mpc,wage,search_prob,error
0.19999999999999998,0.6499999999999999,87.5,0.5,1554094165.406381
0.19999999999999998,0.6499999999999999,100.0,0.30000000000000004,4657450612.097377
0.19999999999999998,0.6499999999999999,100.0,0.35000000000000003,4299748795.8545885
0.19999999999999998,0.6499999999999999,100.0,0.4,4112505702.472017
0.19999999999999998,0.6499999999999999,100.0,0.45000000000000007,4041234404.3711195
0.19999999999999998,0.6499999999999999,100.0,0.5,4002657708.593181
0.19999999999999998,0.6499999999999999,112.5,0.30000000000000004,7912781618.403466
0.19999999999999998,0.6499999999999999,112.5,0.35000000000000003,8516915097.343488
0.19999999999999998,0.6499999999999999,112.5,0.4,9031635379.906372
0.19999999999999998,0.6499999999999999,112.5,0.45000000000000007,9566103982.49891
0.19999999999999998,0.6499999999999999,112.5,0.5,9990606284.404982
0.19999999999999998,0.6499999999999999,125.0,0.30000000000000004,14102525372.529045
0.19999999999999998,0.6499999999999999,125.0,0.35000000000000003,15865544916.009398
0.19999999999999998,0.6499999999999999,125.0,0.4,17249761205.6211
0.19999999999999998,0.6499999999999999,125.0,0.45000000000000007,18526380574.4392
0.19999999999999998,0.6499999999999999,125.0,0.5,19517939892.84178
0.19999999999999998,0.6749999999999999,75.0,0.30000000000000004,6890252339.686311
0.19999999999999998,0.6749999999999999,75.0,0.35000000000000003,5290829657.880048
0.19999999999999998,0.6749999999999999,75.0,0.4,4170316378.077221
0.19999999999999998,0.6749999999999999,75.0,0.45000000000000007,3297716865.249859
0.19999999999999998,0.6749999999999999,75.0,0.5,2644915654.844582
0.19999999999999998,0.6749999999999999,87.5,0.30000000000000004,4316793736.509934
0.19999999999999998,0.6749999999999999,87.5,0.35000000000000003,3226321501.6690197
0.19999999999999998,0.6749999999999999,87.5,0.4,2491944955.9941497
0.19999999999999998,0.6749999999999999,87.5,0.45000000000000007,1951771840.0558274
0.19999999999999998,0.6749999999999999,87.5,0.5,1554094165.406381
0.19999999999999998,0.6749999999999999,100.0,0.30000000000000004,4655720813.171812
0.19999999999999998,0.6749999999999999,100.0,0.35000000000000003,4300798872.423513
0.19999999999999998,0.6749999999999999,100.0,0.4,4112505702.472017
0.19999999999999998,0.6749999999999999,100.0,0.45000000000000007,4041234404.3711195
0.19999999999999998,0.6749999999999999,100.0,0.5,4002657708.593181
0.19999999999999998,0.6749999999999999,112.5,0.30000000000000004,7919538714.78608
0.19999999999999998,0.6749999999999999,112.5,0.35000000000000003,8516915097.343488
0.19999999999999998,0.6749999999999999,112.5,0.4,9031635379.906372
0.19999999999999998,0.6749999999999999,112.5,0.45000000000000007,9566103982.49891
0.19999999999999998,0.6749999999999999,112.5,0.5,9990606284.404982
0.19999999999999998,0.6749999999999999,125.0,0.30000000000000004,14101528280.356808
0.19999999999999998,0.6749999999999999,125.0,0.35000000000000003,15864823080.493797
0.19999999999999998,0.6749999999999999,125.0,0.4,17249761205.6211
0.19999999999999998,0.6749999999999999,125.0,0.45000000000000007,18526380574.4392
0.19999999999999998,0.6749999999999999,125.0,0.5,19517939892.84178
0.19999999999999998,0.7,75.0,0.30000000000000004,6890592457.787294
0.19999999999999998,0.7,75.0,0.35000000000000003,5290541057.8243265
0.19999999999999998,0.7,75.0,0.4,4170191509.3919544
